,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
267,Kenscoff,100,HT,1570232836,66,18.45,-72.29,30.0,2.6
268,Yar-Sale,17,RU,1570232291,80,66.83,70.83,0.23,5.36
269,Ignatovka,71,RU,1570232837,54,53.95,47.65,13.31,7.28
270,Vardo,1,US,1570232308,48,39.62,-77.74,18.0,5.7
271,Aborlan,40,PH,1570232837,88,9.44,118.55,26.0,1.0
272,Makakilo City,75,US,1570232740,65,21.35,-158.09,32.0,4.6
273,Galle,100,GN,1570232838,98,10.08,-12.83,21.68,0.789
274,Calvia,0,ES,1570232706,82,39.57,2.51,20.56,2.1
275,Port Macquarie,90,AU,1570232140,68,-31.43,152.91,19.44,3.6
276,Cabinda,94,AO,1570232839,86,-5.56,12.19,24.71,6.16
277,Hervey Bay,0,AU,1570232839,53,-25.3,152.85,26.11,3.1
278,Elko,1,US,1570232840,25,40.83,-115.76,12.0,6.2
279,Port Elizabeth,1,US,1570232318,50,39.31,-74.98,16.67,3.6
280,Tres Arroyos,46,AR,1570232840,96,-38.38,-60.28,5.25,3.554
281,Qorveh,0,IR,1570232840,33,35.17,47.8,8.12,2.406
282,Rovaniemi,0,FI,1570232841,86,66.5,25.72,-2.0,4.1
283,Whitehorse,20,CA,1570232818,43,60.72,-135.06,10.56,7.2
284,Cidreira,100,BR,1570232037,98,-30.17,-50.22,19.39,2.29
285,Veraval,90,FR,1570232842,100,49.65,0.71,13.0,2.6
286,Lakatoro,95,VU,1570232842,83,-16.11,167.42,27.0,7.7
287,Hualmay,39,PE,1570232842,90,-11.1,-77.61,16.22,10.18
288,Itaituba,89,BR,1570232843,91,-4.26,-55.99,23.44,0.81
289,Pisco,38,PE,1570232197,30,-13.71,-76.2,22.0,11.3
290,Hays,90,US,1570232843,100,38.88,-99.33,13.33,7.2
291,Puerto Ayacucho,40,CO,1570232843,83,5.66,-67.63,27.0,1.88
292,Sao Sebastiao,72,BR,1570232844,57,-3.15,-58.36,28.11,0.46
293,Sawakin,0,SD,1570232385,86,19.1,37.33,24.17,0.89
294,Provideniya,66,RU,1570232291,84,64.42,-173.23,-1.83,18.117
295,Mustang,1,US,1570232844,69,35.38,-97.72,28.0,2.6
296,Saint George,20,GR,1570232313,93,39.45,22.34,15.0,0.537
297,Geraldton,5,CA,1570232354,46,49.72,-86.95,10.0,1.0
298,Gat,98,SN,1570232216,88,14.69,-16.54,27.0,2.6
299,Starosubkhangulovo,30,RU,1570232432,61,53.1,57.43,5.85,2.6
300,Menzelinsk,0,RU,1570232845,54,55.73,53.11,15.0,7.0
301,Nainpur,0,IN,1570232846,90,22.43,80.11,20.13,0.48
302,Oranjestad,20,AW,1570232846,79,12.52,-70.03,29.0,7.7
303,Beboto,67,TD,1570232846,92,8.27,16.94,20.81,1.11
304,Flin Flon,75,CA,1570232847,70,54.77,-101.88,9.0,5.1
305,Berlevag,100,NO,1570232394,70,70.86,29.09,5.67,3.43
306,Altamira,100,BR,1570232847,92,-3.2,-52.21,23.03,0.35
307,Resistencia,90,AR,1570232847,100,-27.45,-58.99,18.0,5.1
308,Tura,100,RU,1570232848,92,64.27,100.22,2.91,3.682
309,Conde,32,BR,1570232848,77,-11.81,-37.61,25.35,8.762
310,Grand Gaube,40,MU,1570232377,94,-20.01,57.66,23.0,3.6
311,El Tigre,0,VE,1570232849,52,8.89,-64.25,28.11,3.149
312,Moramanga,99,MG,1570232849,95,-18.95,48.23,15.4,0.66
313,Saint-Leu,0,RE,1570232849,77,-21.15,55.28,23.0,2.1
314,Palmer,0,AU,1570232413,31,-34.85,139.16,28.33,5.1
315,Ozuluama,21,MX,1570232850,91,21.12,-98.35,22.41,0.78
316,Itoman,20,JP,1570232087,74,26.12,127.67,26.0,4.1
317,Santiago del Estero,50,AR,1570232850,71,-27.8,-64.26,15.45,5.11
318,Biala Podlaska,96,PL,1570232851,67,52.03,23.12,7.34,1.359
319,Talcahuano,0,CL,1570232852,71,-36.72,-73.12,11.0,6.7
320,Dzaoudzi,0,YT,1570232852,94,-12.79,45.27,25.0,1.5
321,Cockburn Town,100,TC,1570232853,82,21.46,-71.14,27.28,7.83
322,Sovetskiy,99,RU,1570232853,84,56.76,48.47,13.34,5.34
323,Lacombe,75,CA,1570232853,40,52.47,-113.73,12.78,1.5
324,Alofi,75,NU,1570232854,69,-19.06,-169.92,25.0,7.2
325,Ahipara,0,NZ,1570232854,91,-35.17,173.16,18.89,7.26
326,Encruzilhada do Sul,100,BR,1570232855,99,-30.54,-52.52,18.33,0.741
327,Aloleng,21,PH,1570232855,67,16.13,119.78,28.36,0.4
328,Phan Thiet,58,VN,1570232360,88,10.93,108.1,24.98,0.95
329,Fatezh,100,RU,1570232855,92,52.09,35.86,7.78,2.24
330,Banda Aceh,93,ID,1570232856,82,5.56,95.32,25.76,4.86
331,Santa Cruz de la Palma,90,ES,1570232856,78,28.68,-17.76,23.0,7.2
332,Goedereede,68,NL,1570232857,93,51.82,3.98,11.67,2.1
333,Avera,75,US,1570232341,52,33.19,-82.53,36.0,1.5
334,Tigil,46,RU,1570232857,61,57.8,158.67,4.8,8.15
335,Moranbah,0,AU,1570232857,32,-22.0,148.04,25.78,5.87
336,Rosarito,75,CO,1570232858,61,4.91,-75.23,26.0,1.5
337,Faanui,54,PF,1570232858,71,-16.48,-151.75,27.02,1.537
338,Leningradskiy,100,RU,1570232288,97,69.38,178.42,2.68,3.14
339,Pouebo,100,NC,1570232858,53,-20.4,164.57,24.4,1.75
340,Namibe,68,AO,1570232859,83,-15.19,12.15,20.66,4.66
341,Mwingi,2,KE,1570232859,84,-0.93,38.07,18.93,3.82
342,Foumban,98,CM,1570232859,92,5.73,10.9,16.77,0.32
343,Sisimiut,22,GL,1570232356,76,66.94,-53.67,4.74,9.44
344,Gaoual,87,GN,1570232860,90,11.75,-13.2,24.0,1.82
345,Saiki,40,JP,1570232860,83,32.95,131.89,22.0,2.1
346,Pimentel,43,BR,1570232416,85,-3.7,-45.5,24.29,1.31
347,Luderitz,0,NA,1570232316,76,-26.65,15.16,14.0,2.6
348,Chenghai,0,CN,1570232861,88,23.46,116.77,25.0,0.38
349,Makarov,100,RU,1570232861,92,48.62,142.78,1.1,3.02
350,Richards Bay,74,ZA,1570232861,91,-28.77,32.06,20.98,5.62
351,Miatli,17,RU,1570232862,41,43.08,46.83,14.65,2.3
352,Bhusawal,100,IN,1570232862,83,21.05,75.78,24.14,1.36
353,Nefteyugansk,100,RU,1570232862,86,61.09,72.61,4.0,3.0
354,Margate,20,AU,1570232863,53,-43.03,147.26,12.78,4.1
355,Hasaki,0,JP,1570232104,61,35.73,140.83,25.0,5.7
356,Anchorage,90,US,1570232801,66,61.22,-149.89,12.0,7.2
357,Hobyo,1,SO,1570232863,91,5.35,48.53,25.15,4.14
358,Quatre Cocos,40,MU,1570232324,94,-20.21,57.76,23.0,3.6
359,Kysyl-Syr,91,RU,1570232864,93,63.9,122.77,-3.01,1.78
360,Katherine,6,AU,1570232864,42,-14.47,132.26,29.0,2.1
361,Coquimbo,0,CL,1570232397,76,-29.95,-71.34,13.0,5.1
362,Gimli,91,CA,1570232865,72,50.63,-96.99,8.89,2.68
363,Vina del Mar,0,CL,1570232865,71,-33.02,-71.55,15.0,8.7
364,Meulaboh,100,ID,1570232379,81,4.14,96.13,26.27,4.898
365,Padang,82,ID,1570232214,85,-0.92,100.36,25.89,5.03
366,Mackay,75,CA,1570232378,50,53.65,-115.58,11.0,5.7
367,Nuuk,84,GL,1570232767,52,64.17,-51.74,6.0,4.6
368,Benghazi,18,LY,1570232866,62,32.12,20.07,24.05,5.73
369,Surgut,100,RU,1570232866,86,61.25,73.4,4.0,3.0
370,Necochea,100,AR,1570232372,95,-38.55,-58.74,10.56,0.45
371,Moron,86,HT,1570232867,78,18.56,-74.26,27.58,4.09
372,Rodrigues Alves,20,BR,1570232867,88,-7.74,-72.65,27.0,1.5
373,Tateyama,75,JP,1570232868,88,36.66,137.31,21.67,1.0
374,Shu,0,KZ,1570232868,30,43.6,73.76,13.6,3.794
375,Pathein,18,MM,1570232868,82,16.78,94.73,26.29,1.12
376,Porto Novo,0,BR,1570232429,73,-23.68,-45.44,21.0,1.5
377,Barra Patuca,100,HN,1570232869,75,15.8,-84.28,28.67,3.34
378,Otane,94,NZ,1570232869,66,-39.89,176.62,14.44,0.45
379,Touros,20,BR,1570232869,78,-5.2,-35.46,24.0,3.1
380,Aasiaat,34,GL,1570232870,63,68.71,-52.87,1.22,2.344
381,Saint-Georges,87,CA,1570232870,37,46.12,-70.67,3.33,1.79
382,Praia da Vitoria,75,PT,1570232123,100,38.73,-27.07,20.0,5.04
383,Okhotsk,0,RU,1570232403,39,59.36,143.24,-2.66,5.381
384,Codrington,40,AU,1570232871,60,-28.95,153.24,24.0,8.2
385,Cusuna,99,HN,1570232871,67,15.85,-85.23,29.28,0.94
386,Los Llanos de Aridane,90,ES,1570232352,78,28.66,-17.92,23.0,7.2
387,Talara,0,PE,1570232872,89,-4.58,-81.27,18.44,11.692
388,Shelburne,1,CA,1570232396,81,44.08,-80.2,10.0,1.5
389,Port-Gentil,20,GA,1570232872,94,-0.72,8.78,25.0,1.5
390,Beringovskiy,0,RU,1570232873,50,63.05,179.32,-1.72,10.66
391,Guadalajara,0,ES,1570232873,54,40.63,-3.16,21.67,3.6
392,Faya,0,SA,1570232394,33,18.39,42.45,18.0,1.65
393,Njombe,40,TZ,1570232873,94,-9.34,34.77,11.79,2.66
394,Tazovskiy,99,RU,1570232874,83,67.47,78.7,2.79,10.56
395,Simbakoro,97,SL,1570232874,99,8.61,-11.01,22.07,1.06
396,Brandon,90,US,1570232705,81,43.59,-96.57,12.0,4.6
397,Kostomuksha,100,RU,1570232432,93,64.59,30.6,-0.83,5.473
398,Brumadinho,0,BR,1570232875,38,-20.14,-44.2,24.0,4.6
399,Tongchuan,90,CN,1570232875,100,34.9,108.95,15.0,3.14
400,Dunedin,18,NZ,1570232293,67,-45.87,170.5,10.0,8.94
401,Tautira,75,PF,1570232875,78,-17.73,-149.15,27.0,4.6
402,Edd,2,ER,1570232876,59,13.93,41.69,31.33,1.714
403,Long Xuyen,40,VN,1570232876,100,10.39,105.43,25.0,1.0
404,Chicama,75,PE,1570232876,87,-7.84,-79.15,16.0,5.1
405,Ribeira Grande,83,PT,1570232877,78,38.52,-28.7,20.7,5.46
406,Suez,0,EG,1570232877,43,29.97,32.54,22.94,4.31
407,Henderson,1,US,1570232636,5,36.04,-114.98,30.0,2.1
408,Pacific Grove,1,US,1570232314,42,36.62,-121.92,25.0,4.1
409,Broken Hill,30,AU,1570232433,11,-31.97,141.45,31.0,8.7
410,Eureka,20,US,1570232878,59,40.8,-124.16,17.0,5.7
411,Niihama,20,JP,1570232878,77,33.96,133.28,22.0,2.1
412,Mehamn,99,NO,1570232334,80,71.03,27.85,2.96,3.306
413,Adiake,20,CI,1570232879,88,5.29,-3.3,26.0,5.7
414,Bonga,100,ET,1570232879,99,7.26,36.25,13.4,0.79
415,Saint-Francois,93,FR,1570232301,76,46.42,3.91,14.0,2.1
416,Sharkan,31,RU,1570232880,83,57.3,53.87,12.78,0.89
417,Mitsamiouli,0,KM,1570232880,77,-11.38,43.28,26.08,0.43
418,Ust-Maya,92,RU,1570232880,56,60.42,134.54,-2.18,2.58
419,Garissa,5,KE,1570232881,71,-0.46,39.64,24.61,5.12
420,Sayyan,2,YE,1570232389,74,15.17,44.32,19.62,0.59
421,San Policarpo,0,PH,1570232881,78,12.18,125.51,27.0,1.98
422,Guantanamo,74,BO,1570232882,79,-16.14,-62.05,23.06,1.62
423,Champerico,90,MX,1570232325,83,16.38,-93.6,25.0,3.6
424,Kampot,40,KH,1570232647,100,10.62,104.18,24.0,1.0
425,Bria,100,CF,1570232882,97,6.54,21.99,20.38,1.22
426,La Ronge,75,CA,1570232883,62,55.1,-105.3,12.0,6.7
427,Mount Gambier,100,AU,1570232289,81,-37.83,140.78,12.0,6.2
428,Goderich,18,CA,1570232061,83,43.74,-81.71,10.0,6.7
429,Vanimo,42,PG,1570232416,68,-2.67,141.3,27.77,1.23
430,Sheregesh,100,RU,1570232884,69,52.93,87.98,4.39,2.11
431,Lerwick,4,GB,1570232290,87,60.15,-1.15,9.0,5.1
432,Coihaique,75,CL,1570232885,65,-45.58,-72.07,8.0,2.1
433,Aripuana,47,BR,1570232885,73,-9.17,-60.63,25.18,1.2
434,Sterling,1,US,1570232415,49,39.0,-77.4,22.0,4.6
435,Alugan,6,PH,1570232885,77,12.22,125.48,27.54,0.94
436,Biak,12,ID,1570232891,75,-0.91,122.88,26.68,4.813
437,Mitu,0,IR,1570232891,63,36.2,46.09,7.36,1.759
438,Kimbe,100,PG,1570232891,57,-5.56,150.15,31.16,0.45
439,Petropavlovka,66,RU,1570232892,81,50.61,105.32,-2.98,1.43
440,Hambantota,100,LK,1570232892,77,6.12,81.12,26.68,2.76
441,Misratah,20,LY,1570232596,65,32.38,15.09,24.29,5.05
442,Sun City West,1,US,1570232893,21,33.66,-112.34,35.56,3.1
443,Klamath Falls,40,US,1570232893,37,42.22,-121.78,12.22,2.75
444,Obzor,90,BG,1570232893,82,42.82,27.88,14.0,7.7
445,Kinangan,29,PH,1570232893,71,6.3,125.58,27.15,2.02
446,Simao,60,CN,1570232894,98,22.76,100.79,16.57,0.59
447,Bilibino,65,RU,1570232894,95,68.06,166.44,-12.45,2.32
448,Cottbus,1,US,1570232894,43,36.65,-91.85,23.0,2.1
449,Hazleton,90,US,1570232895,65,40.96,-75.99,12.0,4.1
450,Tabou,89,CI,1570232895,96,4.42,-7.36,23.28,1.39
451,Parrita,90,CR,1570232895,94,9.52,-84.33,21.0,1.5
452,Luau,100,CD,1570232896,82,-10.7,22.23,19.36,1.44
453,San Vicente,75,EC,1570232896,83,-0.59,-80.41,23.0,5.1
454,Warri,99,NG,1570232896,95,5.52,5.75,23.52,1.326
455,Ashland,1,US,1570232741,48,38.48,-82.64,21.0,2.6
456,Billings,90,US,1570232641,50,45.79,-108.5,13.33,6.2
457,Port Lincoln,83,AU,1570232897,74,-34.72,135.86,17.07,6.59
458,Prince Albert,90,CA,1570232897,75,53.2,-105.75,7.0,3.1
459,Caravelas,30,BR,1570232421,83,-17.73,-39.27,23.54,5.56
460,Adre,100,TD,1570232898,79,13.47,22.2,22.04,4.442
461,Batagay-Alyta,9,RU,1570232898,60,67.8,130.41,-14.49,1.89
462,Kloulklubed,90,PW,1570232898,94,7.04,134.26,25.0,2.6
463,San Pedro,99,AR,1570232898,93,-33.68,-59.66,14.44,2.24
464,Sandy Bay,20,AU,1570232899,53,-42.9,147.33,12.78,4.1
465,Obera,89,AR,1570232899,90,-27.49,-55.12,20.64,1.82
466,Logansport,1,US,1570232705,58,40.75,-86.36,15.0,3.6
467,Mocorito,98,MX,1570232900,64,25.48,-107.92,32.78,5.81
468,College,90,US,1570232400,93,64.86,-147.8,4.0,2.153
469,Lumeje,63,AO,1570232900,80,-11.56,20.78,19.53,0.99
470,Lubango,59,AO,1570232900,67,-14.92,13.49,20.24,0.82
471,Pizarro,100,CO,1570232901,84,4.95,-77.37,26.37,5.261
472,Rafai,100,CF,1570232901,99,4.95,23.92,20.52,0.46
473,Cabo San Lucas,5,MX,1570232308,58,22.89,-109.91,30.56,3.6
474,Waitati,18,NZ,1570232902,65,-45.75,170.57,9.44,8.94
475,Socorro,1,US,1570232902,51,31.65,-106.3,28.0,1.5
476,Beverley,51,AU,1570232902,79,-32.11,116.93,14.16,5.555
477,Komsomolskiy,69,RU,1570232902,96,67.55,63.78,-0.02,1.889
478,Port Hedland,0,AU,1570232903,34,-20.31,118.58,28.0,2.1
479,Usakos,0,NA,1570232903,26,-22.0,15.59,18.03,2.49
480,Sunrise Manor,1,US,1570232727,5,36.21,-115.07,30.0,2.1
481,Vestmanna,33,FO,1570232903,87,62.16,-7.17,8.0,7.7
482,Esperance,90,AU,1570232904,100,-33.86,121.89,14.0,8.7
483,Pangnirtung,40,CA,1570232382,69,66.15,-65.72,2.0,4.1
484,Tatarsk,88,RU,1570232904,93,55.22,75.96,10.42,5.07
485,Xiamen,0,CN,1570232905,83,24.46,118.07,27.0,2.0
486,Aquiraz,75,BR,1570232905,74,-3.9,-38.39,27.0,4.6
487,Mugur-Aksy,3,RU,1570232905,55,50.38,90.44,-8.09,1.94
488,Sioux Lookout,90,CA,1570232735,75,50.1,-91.92,7.0,4.1
489,Rionegro,75,CO,1570232906,59,6.15,-75.37,25.0,2.1
490,Samoded,99,RU,1570232906,99,63.61,40.52,-1.15,1.44
491,Bulgan,0,MN,1570232906,58,48.81,103.53,-1.18,1.69
492,Sebinkarahisar,0,TR,1570232907,54,40.29,38.42,10.0,2.01
493,Albury,26,AU,1570232907,59,-36.08,146.92,22.78,5.1
494,Leh,0,IN,1570232907,64,34.16,77.58,-2.47,0.99
495,Rio Gallegos,0,AR,1570232685,41,-51.62,-69.22,6.0,10.3
496,Salalah,20,OM,1570232387,83,17.01,54.1,26.0,3.1
497,Luohe,100,CN,1570232908,89,33.57,114.03,13.04,8.13
498,Brownsville,1,US,1570232909,74,25.91,-97.49,29.44,4.6
499,Pleshanovo,90,RU,1570232909,93,57.46,28.17,3.0,2.0
500,Powell,1,US,1570232909,66,40.16,-83.08,17.0,4.6
501,Kisangani,100,CD,1570232414,99,0.52,25.21,20.6,0.24
502,Kalavad,0,IN,1570232910,10,22.21,70.38,26.67,2.54
503,Usinsk,100,RU,1570232910,89,66.0,57.56,0.9,3.56
504,Joshimath,0,IN,1570232911,64,30.57,79.57,6.99,2.4
505,Henties Bay,0,NA,1570232350,87,-22.12,14.28,14.16,1.92
506,Andros,0,GR,1570232911,64,37.83,24.93,22.78,8.2
507,Vostok,64,RU,1570232349,81,46.45,135.83,4.52,1.64
508,Patos,58,BR,1570232912,59,-7.03,-37.28,23.58,3.44
509,Shimoda,20,JP,1570232912,74,34.7,138.93,26.11,3.1
510,Antalaha,39,MG,1570232203,97,-14.9,50.28,18.87,1.69
511,Aklavik,40,CA,1570232398,72,68.22,-135.01,6.0,2.1
512,Bikaner,0,IN,1570232432,35,28.02,73.32,28.38,2.29
513,Bang Khla,20,TH,1570232913,88,13.73,101.21,29.44,2.1
514,Emmett,1,US,1570232703,50,43.87,-116.5,15.0,1.5
515,Lethem,70,GY,1570232914,60,3.38,-59.8,28.85,1.97
516,Metlika,98,SI,1570232914,93,45.65,15.32,9.0,0.93
517,Oga,75,IT,1570232914,75,46.46,10.35,5.0,1.0
518,Ola,50,RU,1570232410,66,59.58,151.3,0.05,0.62
519,Panama City,1,US,1570232915,66,30.16,-85.65,29.0,3.6
520,Sinnamary,0,GF,1570232915,80,5.38,-52.96,27.58,4.82
521,Ornskoldsvik,18,SE,1570232915,63,63.29,18.72,2.0,3.1
522,Kita,0,JP,1570232916,50,35.76,139.74,29.44,6.7
523,Wanning,75,AT,1570232916,87,48.64,13.53,12.22,3.1
524,Kaoma,41,ZM,1570232422,52,-14.8,24.8,22.45,4.06
525,Ngunguru,9,NZ,1570232916,70,-35.62,174.5,16.11,4.47
526,Mao,90,DO,1570232333,88,19.55,-71.08,25.0,4.6
527,Ilo,96,PE,1570232917,87,-17.65,-71.34,16.13,6.57
528,Zhezkazgan,0,KZ,1570232917,37,47.8,67.71,7.39,4.08
529,Mayo,75,CA,1570232918,68,63.59,-135.9,4.0,1.5
530,Abu Zabad,99,SD,1570232918,78,12.35,29.25,24.27,2.08
531,Balakhninskiy,100,RU,1570232918,94,58.01,114.28,0.95,1.967
532,Shingu,20,JP,1570232404,64,33.72,135.99,22.0,6.2
533,Bage,95,IN,1570232919,96,12.95,75.85,20.66,1.45
534,Ust-Nera,3,RU,1570232919,82,64.57,143.24,-13.53,1.81
